Line	Spkr	StTime	Content	EnTime
1	LES_int_01	0.3366	Alright.	0.7088
2	LES_int_01	0.7088	(pause 0.34)	1.0506
3	LES_int_01	1.0506	So, it is September tenth,	2.8446
4	LES_int_01	2.8446	(pause 1.01)	3.8575
5	LES_int_01	3.8575	Okay.	4.0467
6	LES_int_01	4.0467	(pause 0.63)	4.6813
7	LES_int_01	4.6813	We're talking to /RD-NAME-4/. Did I say your last name right?	7.6918
8	LES_int_01	7.6918	(pause 0.88)	8.5766
9	LES_int_01	8.5766	So, I would ask you to like start at the beginning and tell me about kind of	12.2282
10	LES_int_01	12.2282	(pause 1.21)	13.4359
11	LES_int_01	13.4359	where you began. So, maybe you can start by just telling me when and where you were born.	18.0193
12	LES_se0_ag2_f_01	18.8782	Okay,	19.2871
13	LES_se0_ag2_f_01	19.2871	(pause 0.54)	19.8302
14	LES_se0_ag2_f_01	19.8302	I was	20.2146
15	LES_se0_ag2_f_01	20.2146	(pause 0.13)	20.3428
16	LES_se0_ag2_f_01	20.3428	born on the Lower East Side of Manhattan.	23.3511
17	LES_int_01	23.5220	Alright.	23.7722
18	LES_se0_ag2_f_01	24.4434	And on	25.9316
19	LES_se0_ag2_f_01	25.9316	(pause 0.19)	26.1207
20	LES_se0_ag2_f_01	26.1207	um	26.6533
21	LES_se0_ag2_f_01	26.6533	(pause 1.44)	28.0917
22	LES_se0_ag2_f_01	28.0917	At /RD-ADDRESS-6/	29.4092
23	LES_int_01	29.6899	Okay.	30.0621
24	LES_se0_ag2_f_01	30.1293	right there on Fourteenth Street.	31.2495
25	LES_int_01	31.2495	Okay.	31.5267
26	LES_se0_ag2_f_01	32.2347	And um.	33.0524
27	LES_int_01	35.0066	I asked when.	35.5784
28	LES_se0_ag2_f_01	35.6351	When. Oh, [when. I was-] eh- February twenty-seventh.	38.1305
29	LES_int_01	36.1548	[Yeah.]	36.5046
30	LES_int_01	38.3624	Uh-huh.	38.6675
31	LES_se0_ag2_f_01	38.6675	Nineteen Seventy-nine.	39.5645
32	LES_int_01	39.7171	[Seventy-nine.]	40.2352
33	LES_se0_ag2_f_01	40.0527	[That] makes me twenty-nine years [old.]	41.2243
34	LES_int_01	41.1144	[Twenty-nine.]	41.7125
35	LES_int_01	41.8710	Okay.	42.1945
36	LES_int_01	42.1945	(pause 0.16)	42.3592
37	LES_int_01	42.3592	I'm almost twenty-eight.	43.2013
38	LES_int_01	43.2013	(pause 0.10)	43.3050
39	LES_int_01	43.3050	So.	43.5491
40	LES_se0_ag2_f_01	43.9946	Mm-hm.	44.4095
41	LES_int_01	44.6522	You're close.	45.1525
42	LES_se0_ag2_f_01	45.3123	Mm-hm.	45.6651
43	LES_int_01	45.9641	Uh, so tell me about your family's history, like how did they end up living on the Lower East Side?	50.7872
44	LES_int_01	50.7872	(pause 0.86)	51.6476
45	LES_int_01	51.6476	What do your parents do?	52.6850
46	LES_se0_ag2_f_01	52.8864	Um.	53.4283
47	LES_se0_ag2_f_01	53.4283	(pause 0.35)	53.7822
48	LES_se0_ag2_f_01	53.7822	It's funny, both of my parents, um, not migrated, but yeah, kind of, from Harlem.	57.7547
49	LES_se0_ag2_f_01	57.7547	(pause 0.35)	58.1074
50	LES_se0_ag2_f_01	58.1074	[They came from.]	58.9571
51	LES_int_01	58.3590	[Oh yeah.]	59.0242
52	LES_se0_ag2_f_01	59.7869	They came from Harlem.	60.6261
53	LES_int_01	60.6261	Okay.	60.9618
54	LES_se0_ag2_f_01	61.1692	They were uh, one of those uh	62.6765
55	LES_se0_ag2_f_01	62.6765	(pause 0.34)	63.0121
56	LES_se0_ag2_f_01	63.0121	a lot of the families that were	64.1351
57	LES_se0_ag2_f_01	64.1351	(pause 0.93)	65.0687
58	LES_se0_ag2_f_01	65.0687	um	65.5508
59	LES_se0_ag2_f_01	65.5508	(pause 0.41)	65.9657
